doc_key,span_idx,span_start,span_end,antecedent_rank,antecedent_score,antecedent_idx,antecedent_start,antecedent_end
bn/pri/00/pri_0039_0,0,9,17,1,0.0,-1,898,898
bn/pri/00/pri_0039_0,0,9,17,2,-inf,82,676,677
bn/pri/00/pri_0039_0,0,9,17,3,-inf,43,398,398
bn/pri/00/pri_0039_0,0,9,17,4,-inf,37,377,377
bn/pri/00/pri_0039_0,0,9,17,5,-inf,0,9,17
bn/pri/00/pri_0039_0,0,9,17,6,-inf,39,383,383
bn/pri/00/pri_0039_0,0,9,17,7,-inf,40,385,385
bn/pri/00/pri_0039_0,0,9,17,8,-inf,38,379,379
bn/pri/00/pri_0039_0,0,9,17,9,-inf,34,352,359
bn/pri/00/pri_0039_0,0,9,17,10,-inf,33,346,347
bn/pri/00/pri_0039_0,0,9,17,11,-inf,32,339,339
bn/pri/00/pri_0039_0,0,9,17,12,-inf,31,336,338
bn/pri/00/pri_0039_0,0,9,17,13,-inf,30,330,332
bn/pri/00/pri_0039_0,0,9,17,14,-inf,29,320,326
bn/pri/00/pri_0039_0,0,9,17,15,-inf,35,361,366
bn/pri/00/pri_0039_0,0,9,17,16,-inf,42,396,396
bn/pri/00/pri_0039_0,0,9,17,17,-inf,56,460,460
bn/pri/00/pri_0039_0,0,9,17,18,-inf,44,400,400
bn/pri/00/pri_0039_0,0,9,17,19,-inf,45,401,401
bn/pri/00/pri_0039_0,0,9,17,20,-inf,46,402,402
bn/pri/00/pri_0039_0,0,9,17,21,-inf,47,407,409
bn/pri/00/pri_0039_0,0,9,17,22,-inf,48,417,417
bn/pri/00/pri_0039_0,0,9,17,23,-inf,49,430,430
bn/pri/00/pri_0039_0,0,9,17,24,-inf,50,431,431
bn/pri/00/pri_0039_0,0,9,17,25,-inf,51,443,445
bn/pri/00/pri_0039_0,0,9,17,26,-inf,52,446,446
bn/pri/00/pri_0039_0,0,9,17,27,-inf,53,449,451
bn/pri/00/pri_0039_0,0,9,17,28,-inf,28,311,312
bn/pri/00/pri_0039_0,0,9,17,29,-inf,1,19,19
bn/pri/00/pri_0039_0,0,9,17,30,-inf,2,29,30
bn/pri/00/pri_0039_0,0,9,17,31,-inf,16,197,197
bn/pri/00/pri_0039_0,0,9,17,32,-inf,13,126,128
bn/pri/00/pri_0039_0,0,9,17,33,-inf,26,300,304
bn/pri/00/pri_0039_0,0,9,17,34,-inf,25,289,289
bn/pri/00/pri_0039_0,0,9,17,35,-inf,24,281,281
bn/pri/00/pri_0039_0,0,9,17,36,-inf,23,277,278
bn/pri/00/pri_0039_0,0,9,17,37,-inf,22,269,269
bn/pri/00/pri_0039_0,0,9,17,38,-inf,21,254,256
bn/pri/00/pri_0039_0,0,9,17,39,-inf,20,239,239
bn/pri/00/pri_0039_0,0,9,17,40,-inf,19,237,237
bn/pri/00/pri_0039_0,0,9,17,41,-inf,18,214,214
bn/pri/00/pri_0039_0,0,9,17,42,-inf,17,204,212
bn/pri/00/pri_0039_0,0,9,17,43,-inf,15,181,181
bn/pri/00/pri_0039_0,0,9,17,44,-inf,3,40,40
bn/pri/00/pri_0039_0,0,9,17,45,-inf,14,157,167
bn/pri/00/pri_0039_0,0,9,17,46,-inf,27,304,304
bn/pri/00/pri_0039_0,0,9,17,47,-inf,12,115,123
bn/pri/00/pri_0039_0,0,9,17,48,-inf,11,115,118
bn/pri/00/pri_0039_0,0,9,17,49,-inf,10,110,110
bn/pri/00/pri_0039_0,0,9,17,50,-inf,9,102,103
bn/pri/00/pri_0039_0,0,9,17,51,-inf,8,102,102
bn/pri/00/pri_0039_0,0,9,17,52,-inf,7,95,107
bn/pri/00/pri_0039_0,0,9,17,53,-inf,6,84,87
bn/pri/00/pri_0039_0,0,9,17,54,-inf,5,74,74
bn/pri/00/pri_0039_0,0,9,17,55,-inf,4,63,71
bn/pri/00/pri_0039_0,0,9,17,56,-inf,54,456,456
bn/pri/00/pri_0039_0,0,9,17,57,-inf,36,369,370
bn/pri/00/pri_0039_0,0,9,17,58,-inf,97,815,815
bn/pri/00/pri_0039_0,0,9,17,59,-inf,69,545,547
bn/pri/00/pri_0039_0,0,9,17,60,-inf,58,476,480
bn/pri/00/pri_0039_0,0,9,17,61,-inf,59,491,493
bn/pri/00/pri_0039_0,0,9,17,62,-inf,60,497,497
bn/pri/00/pri_0039_0,0,9,17,63,-inf,61,501,501
bn/pri/00/pri_0039_0,0,9,17,64,-inf,62,503,503
bn/pri/00/pri_0039_0,0,9,17,65,-inf,63,509,509
bn/pri/00/pri_0039_0,0,9,17,66,-inf,64,513,513
bn/pri/00/pri_0039_0,0,9,17,67,-inf,65,516,516
bn/pri/00/pri_0039_0,0,9,17,68,-inf,66,520,520
bn/pri/00/pri_0039_0,0,9,17,69,-inf,67,528,530
bn/pri/00/pri_0039_0,0,9,17,70,-inf,68,534,534
bn/pri/00/pri_0039_0,0,9,17,71,-inf,55,458,458
bn/pri/00/pri_0039_0,0,9,17,72,-inf,70,556,558
bn/pri/00/pri_0039_0,0,9,17,73,-inf,71,556,562
bn/pri/00/pri_0039_0,0,9,17,74,-inf,72,564,570
bn/pri/00/pri_0039_0,0,9,17,75,-inf,73,572,572
bn/pri/00/pri_0039_0,0,9,17,76,-inf,74,575,578
bn/pri/00/pri_0039_0,0,9,17,77,-inf,75,586,586
bn/pri/00/pri_0039_0,0,9,17,78,-inf,76,594,594
bn/pri/00/pri_0039_0,0,9,17,79,-inf,77,598,598
bn/pri/00/pri_0039_0,0,9,17,80,-inf,78,632,632
bn/pri/00/pri_0039_0,0,9,17,81,-inf,79,638,638
bn/pri/00/pri_0039_0,0,9,17,82,-inf,80,641,641
bn/pri/00/pri_0039_0,0,9,17,83,-inf,81,651,652
bn/pri/00/pri_0039_0,0,9,17,84,-inf,57,466,472
bn/pri/00/pri_0039_0,0,9,17,85,-inf,110,898,898
bn/pri/00/pri_0039_0,0,9,17,86,-inf,84,695,697
bn/pri/00/pri_0039_0,0,9,17,87,-inf,96,810,812
bn/pri/00/pri_0039_0,0,9,17,88,-inf,85,705,705
bn/pri/00/pri_0039_0,0,9,17,89,-inf,86,707,707
bn/pri/00/pri_0039_0,0,9,17,90,-inf,87,721,721
bn/pri/00/pri_0039_0,0,9,17,91,-inf,88,721,732
bn/pri/00/pri_0039_0,0,9,17,92,-inf,89,734,734
bn/pri/00/pri_0039_0,0,9,17,93,-inf,90,745,746
bn/pri/00/pri_0039_0,0,9,17,94,-inf,91,757,757
bn/pri/00/pri_0039_0,0,9,17,95,-inf,92,769,775
bn/pri/00/pri_0039_0,0,9,17,96,-inf,93,786,786
bn/pri/00/pri_0039_0,0,9,17,97,-inf,94,796,796
bn/pri/00/pri_0039_0,0,9,17,98,-inf,95,799,806
bn/pri/00/pri_0039_0,0,9,17,99,-inf,83,690,690
bn/pri/00/pri_0039_0,0,9,17,100,-inf,109,889,889
bn/pri/00/pri_0039_0,0,9,17,101,-inf,98,819,819
bn/pri/00/pri_0039_0,0,9,17,102,-inf,99,822,830
bn/pri/00/pri_0039_0,0,9,17,103,-inf,100,839,839
bn/pri/00/pri_0039_0,0,9,17,104,-inf,101,844,844
bn/pri/00/pri_0039_0,0,9,17,105,-inf,102,845,845
bn/pri/00/pri_0039_0,0,9,17,106,-inf,103,854,857
bn/pri/00/pri_0039_0,0,9,17,107,-inf,104,861,863
bn/pri/00/pri_0039_0,0,9,17,108,-inf,105,866,866
bn/pri/00/pri_0039_0,0,9,17,109,-inf,106,872,872
bn/pri/00/pri_0039_0,0,9,17,110,-inf,107,882,883
bn/pri/00/pri_0039_0,0,9,17,111,-inf,108,886,887
bn/pri/00/pri_0039_0,1,19,19,1,0.0,-1,898,898
bn/pri/00/pri_0039_0,1,19,19,2,-63.471832275390625,0,9,17
bn/pri/00/pri_0039_0,1,19,19,3,-inf,35,361,366
bn/pri/00/pri_0039_0,1,19,19,4,-inf,55,458,458
bn/pri/00/pri_0039_0,1,19,19,5,-inf,56,460,460
bn/pri/00/pri_0039_0,1,19,19,6,-inf,39,383,383
bn/pri/00/pri_0039_0,1,19,19,7,-inf,40,385,385
bn/pri/00/pri_0039_0,1,19,19,8,-inf,38,379,379
bn/pri/00/pri_0039_0,1,19,19,9,-inf,34,352,359
bn/pri/00/pri_0039_0,1,19,19,10,-inf,33,346,347
bn/pri/00/pri_0039_0,1,19,19,11,-inf,32,339,339
bn/pri/00/pri_0039_0,1,19,19,12,-inf,31,336,338
bn/pri/00/pri_0039_0,1,19,19,13,-inf,30,330,332
bn/pri/00/pri_0039_0,1,19,19,14,-inf,29,320,326
bn/pri/00/pri_0039_0,1,19,19,15,-inf,42,396,396
bn/pri/00/pri_0039_0,1,19,19,16,-inf,28,311,312
bn/pri/00/pri_0039_0,1,19,19,17,-inf,37,377,377
bn/pri/00/pri_0039_0,1,19,19,18,-inf,44,400,400
bn/pri/00/pri_0039_0,1,19,19,19,-inf,45,401,401
bn/pri/00/pri_0039_0,1,19,19,20,-inf,46,402,402
bn/pri/00/pri_0039_0,1,19,19,21,-inf,47,407,409
bn/pri/00/pri_0039_0,1,19,19,22,-inf,48,417,417
bn/pri/00/pri_0039_0,1,19,19,23,-inf,49,430,430
bn/pri/00/pri_0039_0,1,19,19,24,-inf,50,431,431
bn/pri/00/pri_0039_0,1,19,19,25,-inf,51,443,445
bn/pri/00/pri_0039_0,1,19,19,26,-inf,52,446,446
bn/pri/00/pri_0039_0,1,19,19,27,-inf,53,449,451
bn/pri/00/pri_0039_0,1,19,19,28,-inf,43,398,398
bn/pri/00/pri_0039_0,1,19,19,29,-inf,1,19,19
bn/pri/00/pri_0039_0,1,19,19,30,-inf,83,690,690
bn/pri/00/pri_0039_0,1,19,19,31,-inf,15,181,181
bn/pri/00/pri_0039_0,1,19,19,32,-inf,25,289,289
bn/pri/00/pri_0039_0,1,19,19,33,-inf,26,300,304
