k,eval_avg_p,eval_avg_r,eval_avg_f,conll_md_p,conll_md_r,conll_md_f,conll_muc_p,conll_muc_r,conll_muc_f,conll_bcub_p,conll_bcub_r,conll_bcub_f,conll_ceafe_p,conll_ceafe_r,conll_ceafe_f,conll_avg_f
1,93.29,79.81,86.01,100.0,87.29,93.21,96.81,85.77,90.96,92.48,78.56,84.95,90.56,75.06,82.08,85.9967
2,94.21,84.73,89.21,100.0,94.83,97.34,97.69,92.49,95.02,94.25,87.59,90.8,93.14,88.83,90.93,92.2500
3,94.92,87.34,90.97,100.0,96.47,98.2,98.26,94.69,96.44,95.28,90.78,92.98,95.2,92.22,93.69,94.3700
4,95.43,89.01,92.10,100.0,97.28,98.62,98.64,95.75,97.17,96.05,92.3,94.14,95.83,93.93,94.87,95.3933
5,95.80,90.21,92.92,100.0,97.86,98.92,98.85,96.56,97.69,96.41,93.51,94.93,96.45,95.0,95.72,96.1133
6,96.10,91.13,93.55,100.0,98.2,99.09,98.98,97.07,98.01,96.64,94.34,95.47,96.93,95.65,96.29,96.5900
7,96.34,91.85,94.04,100.0,98.5,99.24,99.07,97.41,98.23,96.87,94.85,95.85,97.16,96.32,96.74,96.9400
8,96.55,92.45,94.45,100.0,98.64,99.31,99.23,97.71,98.47,97.26,95.35,96.3,97.46,96.73,97.1,97.2900
9,96.73,92.94,94.79,100.0,98.77,99.38,99.3,97.93,98.61,97.37,95.65,96.5,97.67,96.98,97.32,97.4767
10,96.89,93.37,95.09,100.0,98.98,99.48,99.38,98.21,98.79,97.58,96.13,96.85,97.88,97.41,97.64,97.7600
11,97.03,93.75,95.36,100.0,99.09,99.54,99.45,98.39,98.92,97.82,96.48,97.15,98.11,97.74,97.92,97.9967
12,97.17,94.09,95.60,100.0,99.22,99.61,99.52,98.59,99.05,97.99,96.91,97.45,98.3,98.06,98.18,98.2267
13,97.29,94.39,95.81,100.0,99.29,99.64,99.53,98.7,99.11,98.04,97.06,97.55,98.41,98.15,98.28,98.3133
14,97.40,94.66,96.01,100.0,99.36,99.68,99.6,98.83,99.21,98.46,97.35,97.9,98.56,98.41,98.49,98.5333
15,97.51,94.90,96.19,100.0,99.41,99.7,99.62,98.9,99.26,98.59,97.48,98.03,98.61,98.5,98.55,98.6133
16,97.60,95.12,96.34,100.0,99.45,99.72,99.65,98.98,99.31,98.6,97.56,98.08,98.7,98.59,98.64,98.6767
17,97.69,95.32,96.49,100.0,99.47,99.73,99.68,99.04,99.36,98.69,97.67,98.18,98.76,98.65,98.7,98.7467
18,97.77,95.49,96.62,100.0,99.49,99.74,99.7,99.09,99.4,98.7,97.71,98.2,98.85,98.72,98.79,98.7967
19,97.84,95.66,96.74,100.0,99.53,99.76,99.72,99.16,99.44,98.72,97.84,98.28,98.96,98.83,98.9,98.8733
20,97.91,95.81,96.85,100.0,99.56,99.78,99.72,99.18,99.45,98.82,97.83,98.32,98.94,98.9,98.92,98.8967
21,97.97,95.95,96.95,100.0,99.59,99.79,99.74,99.23,99.48,98.81,97.93,98.37,99.04,98.96,99.0,98.9500
22,98.03,96.07,97.04,100.0,99.61,99.8,99.76,99.27,99.51,98.72,97.89,98.3,99.04,99.0,99.02,98.9433
